Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Bosnia and Herzegovina,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Botswana,14 000 ,7000 , 19 000,19 000 ,9500 , 26 000,26 000 ,13 000 , 36 000,33 000 ,17 000 , 46 000,41 000 ,21 000 , 57 000,48 000 ,24 000 , 67 000,54 000 ,27 000 , 76 000,58 000 ,28 000 , 82 000,61 000 ,29 000 , 86 000,61 000 ,29 000 , 88 000,60 000 ,28 000 , 87 000,58 000 ,27 000 , 84 000,55 000 ,25 000 , 80 000,52 000 ,24 000 , 76 000,48 000 ,22 000 , 71 000,45 000 ,20 000 , 66 000,42 000 ,19 000 , 62 000,40 000 ,19 000 , 58 000,38 000 ,18 000 , 56 000,36 000 ,18 000 , 53 000,35 000 ,18 000 , 51 000,35 000 ,18 000 , 50 000,34 000 ,19 000 , 48 000,33 000 ,19 000 , 47 000,33 000 ,20 000 , 45 000,32 000 ,20 000 , 44 000,31 000 ,20 000 , 42 000,30 000 ,20 000 , 41 000,29 000 ,20 000 , 39 000
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200
Burkina Faso,34 000 ,14 000 , 59 000,35 000 ,14 000 , 60 000,34 000 ,14 000 , 60 000,33 000 ,13 000 , 56 000,31 000 ,11 000 , 51 000,29 000 ,10 000 , 49 000,26 000 ,10 000 , 44 000,24 000 ,9300 , 40 000,21 000 ,8100 , 36 000,20 000 ,7300 , 32 000,18 000 ,6800 , 29 000,17 000 ,6700 , 27 000,16 000 ,6600 , 25 000,15 000 ,6900 , 24 000,15 000 ,7400 , 23 000,14 000 ,7700 , 22 000,14 000 ,8000 , 21 000,14 000 ,8400 , 21 000,14 000 ,8800 , 21 000,14 000 ,9100 , 20 000,14 000 ,9300 , 20 000,14 000 ,9400 , 20 000,14 000 ,9300 , 20 000,14 000 ,9200 , 19 000,14 000 ,9200 , 19 000,13 000 ,8800 , 19 000,13 000 ,8400 , 18 000,12 000 ,8000 , 18 000,12 000 ,7700 , 17 000
Burundi,21 000 ,8000 , 43 000,24 000 ,9700 , 45 000,25 000 ,11 000 , 44 000,25 000 ,11 000 , 40 000,23 000 ,10 000 , 37 000,22 000 ,8800 , 34 000,20 000 ,7600 , 32 000,18 000 ,6600 , 29 000,16 000 ,5700 , 26 000,14 000 ,5200 , 24 000,13 000 ,4700 , 22 000,12 000 ,4600 , 20 000,11 000 ,4600 , 18 000,11 000 ,4800 , 16 000,11 000 ,5300 , 16 000,11 000 ,5700 , 16 000,11 000 ,6200 , 15 000,11 000 ,6800 , 16 000,12 000 ,7300 , 16 000,12 000 ,7900 , 16 000,12 000 ,8600 , 16 000,13 000 ,9200 , 16 000,13 000 ,9700 , 16 000,13 000 ,10 000 , 16 000,13 000 ,10 000 , 16 000,13 000 ,9900 , 16 000,12 000 ,9400 , 15 000,12 000 ,9000 , 15 000,11 000 ,8900 , 14 000
Cabo Verde,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Cambodia,<100 ,<100 , <100,<100 ,<100 , <100,<500 ,<500 , <500,1100 ,<1000 , 1300,2600 ,2100 , 3100,5000 ,3900 , 6000,7500 ,5800 , 9000,9500 ,7200 , 11 000,11 000 ,7900 , 13 000,11 000 ,7900 , 14 000,11 000 ,7600 , 14 000,10 000 ,6900 , 13 000,9400 ,6400 , 12 000,8700 ,5900 , 12 000,7900 ,5400 , 10 000,7000 ,4800 , 9300,6100 ,4200 , 8000,5200 ,3600 , 6700,4400 ,3100 , 5700,3800 ,2700 , 4900,3400 ,2400 , 4400,3200 ,2300 , 4000,3000 ,2300 , 3800,3000 ,2300 , 3700,2900 ,2300 , 3600,3000 ,2400 , 3600,3000 ,2500 , 3700,3100 ,2600 , 3700,3200 ,2700 , 3700
Cameroon,15 000 ,7400 , 20 000,19 000 ,9600 , 27 000,25 000 ,13 000 , 36 000,32 000 ,16 000 , 47 000,41 000 ,20 000 , 60 000,50 000 ,25 000 , 73 000,59 000 ,29 000 , 87 000,68 000 ,34 000 , 100 000,76 000 ,37 000 , 110 000,83 000 ,39 000 , 120 000,87 000 ,40 000 , 130 000,89 000 ,41 000 , 130 000,89 000 ,41 000 , 130 000,87 000 ,40 000 , 130 000,84 000 ,38 000 , 130 000,81 000 ,36 000 , 120 000,78 000 ,34 000 , 120 000,75 000 ,33 000 , 110 000,72 000 ,32 000 , 110 000,70 000 ,32 000 , 100 000,68 000 ,31 000 , 100 000,66 000 ,31 000 , 100 000,65 000 ,31 000 , 98 000,64 000 ,32 000 , 96 000,63 000 ,32 000 , 94 000,62 000 ,32 000 , 92 000,61 000 ,32 000 , 90 000,60 000 ,33 000 , 88 000,59 000 ,33 000 , 86 000
